Number,Gridid,HBlon,HBlat,location,road_name,road_level,road_distance,live_distance,a1,a2,a3,pop,Class
246,"[13, -5, -18]",121.1915892,31.26378013,6,安智路,2,221.784,70.6448,0.333333333,0.666666667,0,2.211797923,0
247,"[15, -4, -19]",121.1936937,31.26378013,8,安智路,2,110.893,140.036,0.666666667,0.333333333,0,1.067687702,0
248,"[17, -3, -20]",121.1957982,31.26378013,8,安智路,2,46.962,338.042,0,0.5,0.5,1.067687702,0
251,"[23, 0, -23]",121.2021117,31.26378013,9,博园路,2,46.3448,276.919,0.5,0.5,0,1.952919162,0
252,"[25, 1, -24]",121.2042162,31.26378013,9,嘉松北路,2,4.00376,76.8875,0.5,0,0.5,1.952919162,0
253,"[27, 2, -25]",121.2063207,31.26378013,9,博园路,2,3.21237,123.172,0.333333333,0.333333333,0.333333333,1.952919162,0
254,"[29, 3, -26]",121.2084252,31.26378013,13,新黄西路,3,16.3188,323.204,0,1,0,2.550954341,0
255,"[31, 4, -27]",121.2105297,31.26378013,13,新黄路,3,7.2546,288.836,0.166666667,0.833333333,0,2.550954341,0
256,"[33, 5, -28]",121.2126342,31.26378013,13,劳动街,3,13.379,209.398,0.428571429,0.285714286,0.285714286,2.550954341,0
257,"[35, 6, -29]",121.2147387,31.26378013,18,文化街,3,44.4966,37.2038,0.5,0,0.5,1.3465355,0
258,"[37, 7, -30]",121.2168432,31.26378013,18,钱家村路,3,23.5568,197.374,0.2,0.6,0.2,1.3465355,0
259,"[39, 8, -31]",121.2189477,31.26378013,18,博园路,2,50.8664,138.123,0.714285714,0.285714286,0,1.3465355,0
264,"[49, 13, -36]",121.2294702,31.26378013,22,许家村路,3,213.892,556.753,0,1,0,2.668819504,0
265,"[51, 14, -37]",121.2315747,31.26378013,22,博园路,2,355.594,743.456,0,1,0,2.668819504,0
266,"[53, 15, -38]",121.2336792,31.26378013,21,博园路,2,314.991,0,0,1,0,1.460107371,0
267,"[55, 16, -39]",121.2357837,31.26378013,26,博园路,2,255.036,0,0.5,0.5,0,1.415405553,0
268,"[57, 17, -40]",121.2378882,31.26378013,26,博园路,2,197.057,0,0,1,0,1.415405553,0
272,"[65, 21, -44]",121.2463062,31.26378013,26,杏花路,3,19.4734,345.302,0.25,0.25,0.5,1.415405553,0
273,"[67, 22, -45]",121.2484107,31.26378013,27,牡丹路,3,8.04859,280.015,1,0,0,2.502350299,0
274,"[69, 23, -46]",121.2505152,31.26378013,27,白玉兰路,3,9.46686,342.954,1,0,0,2.502350299,0
275,"[71, 24, -47]",121.2526197,31.26378013,27,联西路,3,39.7923,486.673,0,1,0,2.502350299,0
288,"[12, -7, -19]",121.190537,31.2653378,6,博园路,2,394.442,216.686,0.166666667,0.833333333,0,2.211797923,0
289,"[14, -6, -20]",121.1926415,31.2653378,6,博园路,2,214.24,146.832,1,0,0,2.211797923,0
290,"[16, -5, -21]",121.194746,31.2653378,8,博园路,2,50.5847,276.05,0.5,0,0.5,1.067687702,0
291,"[18, -4, -22]",121.1968505,31.2653378,8,博园路,2,63.4421,217.351,0,1,0,1.067687702,0
292,"[20, -3, -23]",121.198955,31.2653378,8,博园路,2,96.7335,365.601,0,1,0,1.067687702,0
295,"[26, 0, -26]",121.2052685,31.2653378,8,嘉松北路,2,79.6663,174.429,0.5,0.5,0,1.067687702,0
298,"[32, 3, -29]",121.211582,31.2653378,13,罗家路,3,89.0254,111.223,0,0.333333333,0.666666667,2.550954341,0
299,"[34, 4, -30]",121.2136865,31.2653378,13,新黄路,3,1.4832,168.325,0.5,0.375,0.125,2.550954341,0
300,"[36, 5, -31]",121.215791,31.2653378,18,劳动街,3,48.5507,165.712,0.363636364,0.545454545,0.090909091,1.3465355,0
301,"[38, 6, -32]",121.2178955,31.2653378,18,许家村路,3,51.1544,179.648,0.866666667,0.133333333,0,1.3465355,0
303,"[42, 8, -34]",121.2221045,31.2653378,18,博园路,2,39.976,359.365,0.5,0,0.5,1.3465355,0
304,"[44, 9, -35]",121.224209,31.2653378,22,许家村路,3,27.8254,286.454,0.222222222,0,0.777777778,2.668819504,0
307,"[50, 12, -38]",121.2305225,31.2653378,22,博园路,2,187.635,464.683,0,1,0,2.668819504,0
308,"[52, 13, -39]",121.232627,31.2653378,21,博园路,2,169.759,618.841,0,0.5,0.5,1.460107371,0
309,"[54, 14, -40]",121.2347315,31.2653378,21,博园路,2,119.808,793.737,0,1,0,1.460107371,0
310,"[56, 15, -41]",121.236836,31.2653378,26,博园路,2,60.4644,0,0.333333333,0.333333333,0.333333333,1.415405553,0
311,"[58, 16, -42]",121.2389405,31.2653378,26,博园路,2,0.192709,0,0.5,0.25,0.25,1.415405553,0
313,"[62, 18, -44]",121.2431495,31.2653378,26,博园路,2,109.102,513.332,0,1,0,1.415405553,0
314,"[64, 19, -45]",121.245254,31.2653378,26,G15沈海高速,1,23.2509,320.393,1,0,0,1.415405553,0
315,"[66, 20, -46]",121.2473585,31.2653378,27,芙蓉路,3,2.73376,147.685,0.333333333,0,0.666666667,2.502350299,0
316,"[68, 21, -47]",121.249463,31.2653378,27,文明大道,3,26.0205,144.941,1,0,0,2.502350299,0
317,"[70, 22, -48]",121.2515675,31.2653378,27,联西路,3,31.1014,316.588,0.25,0.75,0,2.502350299,0
318,"[72, 23, -49]",121.253672,31.2653378,27,联冯路,3,32.7418,0,0,1,0,2.502350299,0
319,"[74, 24, -50]",121.2557765,31.2653378,27,联冯路,3,48.0966,0,0,0.5,0.5,2.502350299,0
332,"[11, -9, -20]",121.1894847,31.26689547,6,博园路,2,445.081,411.015,0,0.8,0.2,2.211797923,0
334,"[15, -7, -22]",121.1936937,31.26689547,8,博园路,2,54.1113,343.727,0.5,0.5,0,1.067687702,0
335,"[17, -6, -23]",121.1957982,31.26689547,8,博园路,2,120.867,17.3665,1,0,0,1.067687702,0
338,"[23, -3, -26]",121.2021117,31.26689547,8,朱家村路,3,41.8259,24.2218,0.25,0.75,0,1.067687702,0
341,"[29, 0, -29]",121.2084252,31.26689547,13,新黄西路,3,104.889,0,1,0,0,2.550954341,0
342,"[31, 1, -30]",121.2105297,31.26689547,13,罗家路,3,19.7798,234.125,0.125,0,0.875,2.550954341,0
343,"[33, 2, -31]",121.2126342,31.26689547,13,柴家弄,3,8.74346,162.895,1,0,0,2.550954341,0
344,"[35, 3, -32]",121.2147387,31.26689547,13,黄渡·绿苑路,3,69.3604,41.5184,0.714285714,0.142857143,0.142857143,2.550954341,0
345,"[37, 4, -33]",121.2168432,31.26689547,17,新黄路,3,39.8283,22.2757,0.375,0.25,0.375,13.56698033,0
348,"[43, 7, -36]",121.2231567,31.26689547,22,许家村路,3,131.961,270.723,1,0,0,2.668819504,0
349,"[45, 8, -37]",121.2252612,31.26689547,22,博园路,2,61.6238,139.551,1,0,0,2.668819504,0
350,"[47, 9, -38]",121.2273657,31.26689547,22,博园路,2,7.56894,214.295,1,0,0,2.668819504,0
352,"[51, 11, -40]",121.2315747,31.26689547,21,博园路,2,10.6138,449.337,0.333333333,0.666666667,0,1.460107371,0
353,"[53, 12, -41]",121.2336792,31.26689547,21,淞阳南路,3,10.0387,639.488,0,1,0,1.460107371,0
355,"[57, 14, -43]",121.2378882,31.26689547,26,博园路,2,126.98,0,1,0,0,1.415405553,0
356,"[59, 15, -44]",121.2399927,31.26689547,26,联群路,2,14.6595,0,0,1,0,1.415405553,0
357,"[61, 16, -45]",121.2420972,31.26689547,26,联群路,2,184.462,605.767,0.5,0.5,0,1.415405553,0
358,"[63, 17, -46]",121.2442017,31.26689547,26,G15沈海高速,1,85.6958,407.538,0,1,0,1.415405553,0
359,"[65, 18, -47]",121.2463062,31.26689547,27,长寿路,3,44.8838,212.703,1,0,0,2.502350299,0
360,"[67, 19, -48]",121.2484107,31.26689547,27,丰联环路,3,26.7847,66.4723,0.5,0.5,0,2.502350299,0
361,"[69, 20, -49]",121.2505152,31.26689547,27,联西支路,3,4.59664,208.869,0.9,0.1,0,2.502350299,0
362,"[71, 21, -50]",121.2526197,31.26689547,27,联西路,3,99.6746,0,1,0,0,2.502350299,0
369,"[85, 28, -57]",121.2673512,31.26689547,28,联星路,3,181.33,422.84,0.5,0.5,0,3.139014279,0
370,"[87, 29, -58]",121.2694557,31.26689547,28,曹丰路,3,5.91312,311.288,0,0.666666667,0.333333333,3.139014279,0
378,"[12, -10, -22]",121.190537,31.26845314,6,博园路,2,336.455,508.435,0,0.5,0.5,2.211797923,0
379,"[14, -9, -23]",121.1926415,31.26845314,8,博园路,2,136.91,489.996,0.333333333,0.666666667,0,1.067687702,0
381,"[18, -7, -25]",121.1968505,31.26845314,8,博园路,2,249.283,93.6001,1,0,0,1.067687702,0
382,"[20, -6, -26]",121.198955,31.26845314,8,朱家村路,3,297.381,292.502,1,0,0,1.067687702,0
385,"[26, -3, -29]",121.2052685,31.26845314,8,朱家村路,3,74.7183,362.489,0,1,0,1.067687702,0
386,"[28, -2, -30]",121.207373,31.26845314,7,嘉松北路,2,38.9196,299.588,0,0.5,0.5,14.82035928,0
387,"[30, -1, -31]",121.2094775,31.26845314,13,罗家路,3,7.3086,234.56,0,1,0,2.550954341,0
388,"[32, 0, -32]",121.211582,31.26845314,13,绿苑支路,3,144.737,198.927,1,0,0,2.550954341,0
389,"[34, 1, -33]",121.2136865,31.26845314,13,绿苑支路,3,47.5811,190.658,0.923076923,0.076923077,0,2.550954341,0
390,"[36, 2, -34]",121.215791,31.26845314,17,黄渡·绿苑路,3,103.86,59.9919,0.5,0,0.5,13.56698033,0
391,"[38, 3, -35]",121.2178955,31.26845314,17,新黄路,3,14.9214,218.092,0.428571429,0.142857143,0.428571429,13.56698033,0
393,"[42, 5, -37]",121.2221045,31.26845314,21,春亭路,3,0.333827,336.345,1,0,0,1.460107371,0
394,"[44, 6, -38]",121.224209,31.26845314,22,春亭路,3,121.264,63.0439,0.5,0.5,0,2.668819504,0
395,"[46, 7, -39]",121.2263135,31.26845314,22,春荣路,3,57.3828,82.8409,0.5,0.333333333,0.166666667,2.668819504,0
396,"[48, 8, -40]",121.228418,31.26845314,22,东街路,3,67.3519,117.706,0.5,0,0.5,2.668819504,0
398,"[52, 10, -42]",121.232627,31.26845314,25,东街路,3,10.2032,517.584,0,1,0,39.57035928,0
402,"[60, 14, -46]",121.241045,31.26845314,26,联群路,2,102.415,741.888,0,1,0,1.415405553,0
403,"[62, 15, -47]",121.2431495,31.26845314,26,G15沈海高速,1,211.384,556.349,0,1,0,1.415405553,0
404,"[64, 16, -48]",121.245254,31.26845314,26,G15沈海高速,1,13.51,335.284,0,0.333333333,0.666666667,1.415405553,0
405,"[66, 17, -49]",121.2473585,31.26845314,26,花园路,3,16.1846,260.448,1,0,0,1.415405553,0
406,"[68, 18, -50]",121.249463,31.26845314,27,发展路,3,3.80748,258.903,0.5,0,0.5,2.502350299,0
407,"[70, 19, -51]",121.2515675,31.26845314,27,联西路,3,78.8898,275.565,0.875,0.125,0,2.502350299,0
408,"[72, 20, -52]",121.253672,31.26845314,27,张介路,3,102.509,0,0,1,0,2.502350299,0
409,"[74, 21, -53]",121.2557765,31.26845314,27,张介路,3,107.571,0,0,1,0,2.502350299,0
410,"[76, 22, -54]",121.257881,31.26845314,27,冯东路,3,238.841,0,0,1,0,2.502350299,0
411,"[78, 23, -55]",121.2599855,31.26845314,27,冯东路,3,158.077,0,0,1,0,2.502350299,0
415,"[86, 27, -59]",121.2684035,31.26845314,28,曹丰路,3,141.488,237.239,0,1,0,3.139014279,0
416,"[88, 28, -60]",121.270508,31.26845314,28,曹丰路,3,49.9036,120.062,0.285714286,0.285714286,0.428571429,3.139014279,0
427,"[15, -10, -25]",121.1936937,31.27001081,8,博园路,2,56.0137,675.796,0.5,0,0.5,1.067687702,0
428,"[17, -9, -26]",121.1957982,31.27001081,8,博园路,2,131.876,106.938,0.5,0.5,0,1.067687702,0
432,"[25, -5, -30]",121.2042162,31.27001081,8,杭桂路,3,106.612,329.341,1,0,0,1.067687702,0
433,"[27, -4, -31]",121.2063207,31.27001081,7,杭桂路,3,61.54,163.7,1,0,0,14.82035928,0
434,"[29, -3, -32]",121.2084252,31.27001081,7,嘉松北路,2,38.4462,158.621,0.857142857,0,0.142857143,14.82035928,0
435,"[31, -2, -33]",121.2105297,31.27001081,7,嘉松北路,2,60.657,58.0046,0.4,0.2,0.4,14.82035928,0
436,"[33, -1, -34]",121.2126342,31.27001081,13,黄渡·绿苑路,3,64.8253,10.1681,1,0,0,2.550954341,0
437,"[35, 0, -35]",121.2147387,31.27001081,17,黄渡·绿苑路,3,107.967,138.801,1,0,0,13.56698033,0
438,"[37, 1, -36]",121.2168432,31.27001081,16,新黄路,3,143.824,119.021,0.5,0.5,0,10.5445509,0
439,"[39, 2, -37]",121.2189477,31.27001081,17,新黄路,3,35.6018,101.699,0.5,0.5,0,13.56698033,0
441,"[43, 4, -39]",121.2231567,31.27001081,21,东街新路,3,20.005,261.698,0,1,0,1.460107371,0
442,"[45, 5, -40]",121.2252612,31.27001081,21,春亭路,3,6.99205,213.453,0.666666667,0.333333333,0,1.460107371,0
443,"[47, 6, -41]",121.2273657,31.27001081,21,春亭路,3,0.803111,268.126,0.5,0,0.5,1.460107371,0
450,"[61, 13, -48]",121.2420972,31.27001081,26,联群路,2,217.064,544.455,0.666666667,0.333333333,0,1.415405553,0
451,"[63, 14, -49]",121.2442017,31.27001081,26,G15沈海高速,1,139.093,356.612,0,1,0,1.415405553,0
452,"[65, 15, -50]",121.2463062,31.27001081,26,G15沈海高速,1,42.6076,459.653,0.5,0,0.5,1.415405553,0
453,"[67, 16, -51]",121.2484107,31.27001081,26,发展路,3,24.6387,412.866,0.75,0.25,0,1.415405553,0
454,"[69, 17, -52]",121.2505152,31.27001081,27,联西路,3,2.80011,115.625,0,0.5,0.5,2.502350299,0
455,"[71, 18, -53]",121.2526197,31.27001081,27,曹联路,3,68.1475,315.636,0,1,0,2.502350299,0
456,"[73, 19, -54]",121.2547242,31.27001081,27,张介路,3,66.4793,0,0,1,0,2.502350299,0
458,"[77, 21, -56]",121.2589332,31.27001081,27,曹联支路,3,194.654,0,1,0,0,2.502350299,0
459,"[79, 22, -57]",121.2610377,31.27001081,27,曹联支路,3,12.8992,0,0,1,0,2.502350299,0
460,"[81, 23, -58]",121.2631422,31.27001081,27,曹联支路,3,167.056,0,0,1,0,2.502350299,0
461,"[83, 24, -59]",121.2652467,31.27001081,27,联星路,3,143.248,467.667,0,1,0,2.502350299,0
462,"[85, 25, -60]",121.2673512,31.27001081,28,联星路,3,42.4071,268.583,0.2,0.6,0.2,3.139014279,0
463,"[87, 26, -61]",121.2694557,31.27001081,28,曹丰路,3,98.6393,117.426,0.5,0.5,0,3.139014279,0
466,"[93, 29, -64]",121.2757692,31.27001081,28,曹安公路,1,33.4909,229.197,0,0.333333333,0.666666667,3.139014279,0
474,"[12, -13, -25]",121.190537,31.27156848,8,安虹路,2,225.643,262.126,0,1,0,1.067687702,0
475,"[14, -12, -26]",121.1926415,31.27156848,8,博园路,2,125.736,298.931,0.666666667,0.333333333,0,1.067687702,0
476,"[16, -11, -27]",121.194746,31.27156848,8,博园路,2,51.5357,111.475,1,0,0,1.067687702,0
477,"[18, -10, -28]",121.1968505,31.27156848,8,研茂路,3,143.725,124.584,0.25,0.75,0,1.067687702,0
481,"[26, -6, -32]",121.2052685,31.27156848,7,杭桂路,3,72.6331,209.425,1,0,0,14.82035928,0
482,"[28, -5, -33]",121.207373,31.27156848,7,罗家路,3,238.642,47.0676,1,0,0,14.82035928,0
483,"[30, -4, -34]",121.2094775,31.27156848,7,嘉松北路,2,128.432,201.457,0.5,0.5,0,14.82035928,0
484,"[32, -3, -35]",121.211582,31.27156848,20,嘉松北路,2,17.1568,398.707,0.5,0.333333333,0.166666667,2.357245509,0
485,"[34, -2, -36]",121.2136865,31.27156848,17,嘉松北路,2,82.1767,72.5036,0.25,0.75,0,13.56698033,0
487,"[38, 0, -38]",121.2178955,31.27156848,16,新黄支路,3,86.3708,127.097,0.5,0.5,0,10.5445509,0
491,"[46, 4, -42]",121.2263135,31.27156848,21,东街新路,3,113.178,389.519,0,0.666666667,0.333333333,1.460107371,0
492,"[48, 5, -43]",121.228418,31.27156848,21,东街路,3,80.1108,372.593,0,1,0,1.460107371,0
495,"[54, 8, -46]",121.2347315,31.27156848,21,淞阳南路,3,112.04,799.933,0,1,0,1.460107371,0
496,"[56, 9, -47]",121.236836,31.27156848,21,春亭路,3,147.76,0,0,1,0,1.460107371,0
497,"[58, 10, -48]",121.2389405,31.27156848,26,联群路,2,56.74,0,1,0,0,1.415405553,0
499,"[62, 12, -50]",121.2431495,31.27156848,26,G15沈海高速,1,264.607,423.694,0.666666667,0,0.333333333,1.415405553,0
501,"[66, 14, -52]",121.2473585,31.27156848,26,春浓路,2,42.4092,32.0717,0.5,0.5,0,1.415405553,0
502,"[68, 15, -53]",121.249463,31.27156848,26,联西路,3,95.4429,178.367,0,1,0,1.415405553,0
503,"[70, 16, -54]",121.2515675,31.27156848,27,联西路,3,104.578,277.613,0.166666667,0.333333333,0.5,2.502350299,0
504,"[72, 17, -55]",121.253672,31.27156848,27,曹联路,3,44.8779,450.923,0.666666667,0.333333333,0,2.502350299,0
505,"[74, 18, -56]",121.2557765,31.27156848,27,曹联路,3,42.9735,0,0.333333333,0.666666667,0,2.502350299,0
506,"[76, 19, -57]",121.257881,31.27156848,27,曹联路,3,131.64,0,0,1,0,2.502350299,0
507,"[78, 20, -58]",121.2599855,31.27156848,27,曹联支路,3,29.6947,0,0.5,0.5,0,2.502350299,0
509,"[82, 22, -60]",121.2641945,31.27156848,27,联星路,3,301.788,0,1,0,0,2.502350299,0
510,"[84, 23, -61]",121.266299,31.27156848,28,联星路,3,117.269,0,0.333333333,0.666666667,0,3.139014279,0
512,"[88, 25, -63]",121.270508,31.27156848,28,曹丰路,3,54.118,226.525,0.428571429,0.571428571,0,3.139014279,0
513,"[90, 26, -64]",121.2726125,31.27156848,28,曹安公路,1,32.473,171.208,0,0.5,0.5,3.139014279,0
514,"[92, 27, -65]",121.274717,31.27156848,28,曹安公路,1,54.2708,33.5244,0.5,0.333333333,0.166666667,3.139014279,0
515,"[94, 28, -66]",121.2768215,31.27156848,28,翔江公路,2,18.1438,230.105,0.25,0,0.75,3.139014279,0
517,"[98, 30, -68]",121.2810305,31.27156848,28,倪家桥路,3,62.2205,230.335,0,0.5,0.5,3.139014279,0
520,"[7, -17, -24]",121.1852757,31.27312615,6,博园路,2,174.788,99.5012,0.5,0,0.5,2.211797923,0
521,"[9, -16, -25]",121.1873802,31.27312615,6,博园路,2,139.789,127.176,1,0,0,2.211797923,0
522,"[11, -15, -26]",121.1894847,31.27312615,6,博园路,2,154.877,320.088,0,0.5,0.5,2.211797923,0
523,"[13, -14, -27]",121.1915892,31.27312615,9,安虹路,2,52.4473,71.4229,0.5,0.5,0,1.952919162,0
524,"[15, -13, -28]",121.1936937,31.27312615,9,创研路,3,13.6049,221.863,1,0,0,1.952919162,0
525,"[17, -12, -29]",121.1957982,31.27312615,9,研茂路,3,17.3654,110.914,1,0,0,1.952919162,0
526,"[19, -11, -30]",121.1979027,31.27312615,6,研茂路,3,35.6826,235.376,0,1,0,2.211797923,0
531,"[29, -6, -35]",121.2084252,31.27312615,7,黄渡·绿苑路,3,183.075,240.076,0,1,0,14.82035928,0
532,"[31, -5, -36]",121.2105297,31.27312615,20,黄渡·绿苑路,3,13.7453,332.76,0.333333333,0.333333333,0.333333333,2.357245509,0
533,"[33, -4, -37]",121.2126342,31.27312615,20,嘉松北路,2,107.357,258.92,0.5,0.5,0,2.357245509,0
534,"[35, -3, -38]",121.2147387,31.27312615,20,嘉松北路,2,14.9737,217.069,0.25,0.25,0.5,2.357245509,0
535,"[37, -2, -39]",121.2168432,31.27312615,16,胜达路,3,93.4747,288.887,1,0,0,10.5445509,0
536,"[39, -1, -40]",121.2189477,31.27312615,16,新黄路,3,69.8913,310.862,0,0.5,0.5,10.5445509,0
537,"[41, 0, -41]",121.2210522,31.27312615,16,新黄路,3,128.611,435.687,0,1,0,10.5445509,0
538,"[43, 1, -42]",121.2231567,31.27312615,21,金易路,3,82.7288,0,0,1,0,1.460107371,0
539,"[45, 2, -43]",121.2252612,31.27312615,21,曹安公路辅路,2,30.9686,558.162,0,1,0,1.460107371,0
540,"[47, 3, -44]",121.2273657,31.27312615,20,曹安公路辅路,2,0.556626,527.069,0,1,0,2.357245509,0
542,"[51, 5, -46]",121.2315747,31.27312615,21,曹安公路辅路,2,24.9815,0,0,1,0,1.460107371,0
543,"[53, 6, -47]",121.2336792,31.27312615,21,淞阳南路,3,23.7779,702.523,0.333333333,0,0.666666667,1.460107371,0
544,"[55, 7, -48]",121.2357837,31.27312615,26,曹安公路辅路,2,72.7581,693.582,0,1,0,1.415405553,0
545,"[57, 8, -49]",121.2378882,31.27312615,26,曹安公路辅路,2,98.227,767.168,0,1,0,1.415405553,0
546,"[59, 9, -50]",121.2399927,31.27312615,26,联群路,2,51.7812,0,0,1,0,1.415405553,0
548,"[63, 11, -52]",121.2442017,31.27312615,26,曹安公路辅路,2,163.101,377.637,0,1,0,1.415405553,0
549,"[65, 12, -53]",121.2463062,31.27312615,26,G15沈海高速,1,6.20285,231.015,0,0.333333333,0.666666667,1.415405553,0
550,"[67, 13, -54]",121.2484107,31.27312615,26,西经一路,3,75.5802,210.098,0,1,0,1.415405553,0
551,"[69, 14, -55]",121.2505152,31.27312615,26,联西路,3,6.0465,339.018,0,1,0,1.415405553,0
552,"[71, 15, -56]",121.2526197,31.27312615,27,东纬二路,3,85.9024,469.855,0,1,0,2.502350299,0
553,"[73, 16, -57]",121.2547242,31.27312615,27,新庙路,3,43.9536,0,0,1,0,2.502350299,0
554,"[75, 17, -58]",121.2568287,31.27312615,27,曹联路,3,69.2505,0,0.5,0,0.5,2.502350299,0
555,"[77, 18, -59]",121.2589332,31.27312615,27,曹联支路,3,13.2061,475.941,0,1,0,2.502350299,0
556,"[79, 19, -60]",121.2610377,31.27312615,27,曹联支路,3,135.7,378.022,0,1,0,2.502350299,0
558,"[83, 21, -62]",121.2652467,31.27312615,27,曹安公路辅路,2,235.915,0,0,0.571428571,0.428571429,2.502350299,0
559,"[85, 22, -63]",121.2673512,31.27312615,28,联星路,3,70.4998,0,0.5,0.5,0,3.139014279,0
560,"[87, 23, -64]",121.2694557,31.27312615,28,曹安公路,1,37.6596,240.905,0,0.666666667,0.333333333,3.139014279,0
561,"[89, 24, -65]",121.2715602,31.27312615,28,曹安公路,1,50.0399,312.917,0.5,0.5,0,3.139014279,0
562,"[91, 25, -66]",121.2736647,31.27312615,28,曹安公路,1,152.155,172.405,0,1,0,3.139014279,0
563,"[93, 26, -67]",121.2757692,31.27312615,28,翔江公路,2,53.4723,203.817,0,1,0,3.139014279,0
568,"[6, -19, -25]",121.1842235,31.27468382,6,博园路,2,73.9062,220.169,1,0,0,2.211797923,0
569,"[8, -18, -26]",121.186328,31.27468382,6,博园路,2,13.1343,122.464,0.666666667,0,0.333333333,2.211797923,0
570,"[10, -17, -27]",121.1884325,31.27468382,6,博园路,2,16.7858,258.062,0,1,0,2.211797923,0
571,"[12, -16, -28]",121.190537,31.27468382,6,博园路,2,20.9168,176.005,1,0,0,2.211797923,0
572,"[14, -15, -29]",121.1926415,31.27468382,8,安虹路,2,84.2637,144.067,1,0,0,1.067687702,0
574,"[18, -13, -31]",121.1968505,31.27468382,6,创研路,3,92.0985,303.628,0,1,0,2.211797923,0
578,"[26, -9, -35]",121.2052685,31.27468382,6,杭桂路,3,45.737,363.508,0.25,0.5,0.25,2.211797923,0
